dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.332459,1.023048,0.000075,0.007484,0.374200,18.710014,0.000040
0.020000,0.332463,1.023048,0.000078,0.000180,-0.365189,-36.969444,0.000030
0.020000,0.332470,1.023048,0.000086,0.000360,0.008992,18.709053,0.000010
0.020000,0.333092,1.023048,0.000708,0.031101,1.537035,76.402123,6.283165
0.020000,0.334304,1.023048,0.001919,0.060589,1.474418,-3.130861,6.283124
0.020000,0.335819,1.023048,0.003434,0.075734,0.757220,-35.859885,6.283074
0.020000,0.337636,1.023048,0.005252,0.090876,0.757124,-0.004806,6.283014
0.020000,0.339756,1.023047,0.007372,0.106016,0.757009,-0.005768,6.282944
0.020000,0.342180,1.023047,0.009795,0.121154,0.756874,-0.006729,6.282865
0.020000,0.344905,1.023046,0.012521,0.136288,0.756720,-0.007690,6.282776
0.020000,0.347934,1.023044,0.015549,0.151419,0.756547,-0.008652,6.282679
0.020000,0.351265,1.023043,0.018880,0.166546,0.756355,-0.009613,6.282572
0.020000,0.354898,1.023040,0.022513,0.181669,0.756143,-0.010574,6.282456
0.020000,0.358834,1.023037,0.026449,0.196787,0.755913,-0.011536,6.282332
0.020000,0.363072,1.023033,0.030687,0.211900,0.755663,-0.012497,6.282200
0.020000,0.367612,1.023028,0.035227,0.227008,0.755393,-0.013461,6.282060
0.020000,0.372454,1.023022,0.040070,0.242110,0.755105,-0.014418,6.281913
0.020000,0.377598,1.023016,0.045214,0.257206,0.754797,-0.015382,6.281758
0.020000,0.383044,1.023007,0.050660,0.272296,0.754471,-0.016343,6.281597
0.020000,0.388792,1.022998,0.056407,0.287378,0.754125,-0.017304,6.281429
0.020000,0.394841,1.022987,0.062456,0.302453,0.753759,-0.018265,6.281255
0.020000,0.401191,1.022974,0.068807,0.317521,0.753375,-0.019228,6.281075
0.020000,0.407843,1.022959,0.075458,0.332580,0.752971,-0.020188,6.280891
0.020000,0.414795,1.022942,0.082411,0.347631,0.752548,-0.021149,6.280701
0.020000,0.422049,1.022924,0.089664,0.362673,0.752106,-0.022110,6.280508
0.020000,0.429603,1.022903,0.097219,0.377706,0.751644,-0.023073,6.280310
0.020000,0.437457,1.022879,0.105073,0.392730,0.751164,-0.024034,6.280110
0.020000,0.445612,1.022853,0.113228,0.407743,0.750664,-0.024993,6.279907
0.020000,0.454067,1.022825,0.121683,0.422746,0.750145,-0.025960,6.279702
0.020000,0.462822,1.022793,0.130438,0.437738,0.749606,-0.026913,6.279496
0.020000,0.471876,1.022759,0.139492,0.452719,0.749049,-0.027879,6.279289
0.020000,0.481230,1.022722,0.148846,0.467688,0.748472,-0.028837,6.279082
0.020000,0.490883,1.022681,0.158499,0.482646,0.747876,-0.029805,6.278876
0.020000,0.500834,1.022637,0.168451,0.497591,0.747261,-0.030756,6.278671
0.020000,0.511085,1.022590,0.178701,0.512524,0.746626,-0.031723,6.278468
0.020000,0.521634,1.022539,0.189250,0.527443,0.745973,-0.032681,6.278268
0.020000,0.532480,1.022485,0.200097,0.542349,0.745300,-0.033645,6.278071
0.020000,0.543625,1.022427,0.211242,0.557241,0.744608,-0.034601,6.277878
0.020000,0.555067,1.022365,0.222684,0.572119,0.743896,-0.035567,6.277690
0.020000,0.566807,1.022299,0.234424,0.586982,0.743166,-0.036524,6.277509
0.020000,0.578843,1.022230,0.246460,0.601831,0.742416,-0.037482,6.277334
0.020000,0.591176,1.022157,0.258794,0.616664,0.741647,-0.038451,6.277167
0.020000,0.603806,1.022080,0.271423,0.631481,0.740859,-0.039403,6.277008
0.020000,0.616731,1.021999,0.284349,0.646282,0.740052,-0.040368,6.276858
0.020000,0.629952,1.021914,0.297570,0.661066,0.739225,-0.041330,6.276719
0.020000,0.643468,1.021826,0.311087,0.675834,0.738379,-0.042286,6.276591
0.020000,0.657280,1.021734,0.324899,0.690584,0.737514,-0.043254,6.276476
0.020000,0.671386,1.021639,0.339005,0.705317,0.736630,-0.044209,6.276373
0.020000,0.685786,1.021540,0.353406,0.720031,0.735727,-0.045173,6.276285
0.020000,0.700480,1.021438,0.368100,0.734728,0.734804,-0.046132,6.276212
0.020000,0.715468,1.021333,0.383088,0.749405,0.733862,-0.047096,6.276156
0.020000,0.730749,1.021225,0.398369,0.764063,0.732901,-0.048057,6.276117
0.020000,0.746323,1.021115,0.413943,0.778701,0.731921,-0.049018,6.276096
0.020000,0.762189,1.021002,0.429810,0.793320,0.730921,-0.049981,6.276095
0.020000,0.778346,1.020888,0.445968,0.807918,0.729902,-0.050943,6.276115
0.020000,0.794796,1.020772,0.462418,0.822495,0.728864,-0.051906,6.276157
0.020000,0.811537,1.020655,0.479159,0.837051,0.727807,-0.052868,6.276222
0.020000,0.828568,1.020537,0.496191,0.851586,0.726730,-0.053833,6.276312
0.020000,0.845889,1.020419,0.513513,0.866098,0.725634,-0.054793,6.276427
0.020000,0.863501,1.020301,0.531125,0.880589,0.724519,-0.055760,6.276569
0.020000,0.881402,1.020184,0.549026,0.895056,0.723385,-0.056723,6.276739
0.020000,0.899591,1.020069,0.567216,0.909501,0.722231,-0.057683,6.276939
0.020000,0.918069,1.019955,0.585694,0.923922,0.721058,-0.058654,6.277169
0.020000,0.936835,1.019845,0.604461,0.938320,0.719866,-0.059611,6.277431
0.020000,0.955889,1.019738,0.623514,0.952693,0.718654,-0.060576,6.277727
0.020000,0.975229,1.019635,0.642855,0.967041,0.717423,-0.061543,6.278058
0.020000,0.994857,1.019538,0.662483,0.981365,0.716173,-0.062501,6.278425
0.020000,1.014770,1.019448,0.682396,0.995663,0.714904,-0.063467,6.278829
0.020000,1.034968,1.019364,0.702594,1.009935,0.713615,-0.064425,6.279273
0.020000,1.055452,1.019289,0.723078,1.024181,0.712308,-0.065388,6.279757
0.020000,1.076219,1.019223,0.743846,1.038401,0.710981,-0.066340,6.280284
0.020000,1.097271,1.019168,0.764898,1.052593,0.709635,-0.067305,6.280854
0.020000,1.118606,1.019125,0.786233,1.066759,0.708270,-0.068254,6.281469
0.020000,1.140224,1.019095,0.807851,1.080896,0.706886,-0.069207,6.282131
0.020000,1.162124,1.019079,0.829751,1.095006,0.705482,-0.070153,6.282841
0.020000,1.184306,1.019080,0.851933,1.109087,0.704060,-0.071100,0.000416
0.020000,1.206769,1.019098,0.874396,1.123140,0.702620,-0.072037,0.001227
0.020000,1.229512,1.019136,0.897139,1.137163,0.701160,-0.072972,0.002092
0.020000,1.252535,1.019195,0.920162,1.151157,0.699682,-0.073899,0.003011
0.020000,1.275838,1.019276,0.943465,1.165120,0.698186,-0.074819,0.003987
0.020000,1.299418,1.019382,0.967046,1.179054,0.696671,-0.075734,0.005022
0.020000,1.323277,1.019515,0.990905,1.192957,0.695139,-0.076636,0.006116
0.020000,1.347413,1.019676,1.015041,1.206828,0.693588,-0.077518,0.007271
0.020000,1.371826,1.019869,1.039455,1.220669,0.692020,-0.078406,0.008490
0.020000,1.396514,1.020094,1.064144,1.234477,0.690435,-0.079265,0.009775
0.020000,1.421478,1.020355,1.089109,1.248254,0.688832,-0.080118,0.011126
0.020000,1.446716,1.020653,1.114349,1.261998,0.687214,-0.080930,0.012546
0.020000,1.472228,1.020992,1.139863,1.275710,0.685578,-0.081800,0.014037
0.020000,1.498013,1.021374,1.165651,1.289388,0.683928,-0.082507,0.015601
0.020000,1.524070,1.021802,1.191712,1.303034,0.682261,-0.083311,0.017238
0.020000,1.550399,1.022279,1.218045,1.316645,0.680581,-0.084047,0.018952
0.020000,1.576998,1.022806,1.244649,1.330223,0.678885,-0.084768,0.020745
0.020000,1.597759,1.023307,1.265417,1.038372,-14.592526,-763.570572,0.030541
0.020000,1.619993,1.024161,1.287667,1.112506,3.706696,914.961119,0.046261
0.020000,1.642469,1.025380,1.310175,1.125430,0.646173,-153.026134,0.062096
0.020000,1.665188,1.026975,1.332951,1.138767,0.666880,1.035328,0.078023
0.020000,1.688153,1.028955,1.356001,1.152523,0.687760,1.044008,0.094018
0.020000,1.711366,1.031333,1.379335,1.166709,0.709317,1.077833,0.110057
0.020000,1.734829,1.034116,1.402962,1.181350,0.732054,1.136839,0.126115
0.020000,1.758543,1.037317,1.426892,1.196469,0.755959,1.195281,0.142164
0.020000,1.782511,1.040944,1.451133,1.212056,0.779317,1.167891,0.158178
0.020000,1.806736,1.045007,1.475696,1.228135,0.803960,1.232172,0.174130
