dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.332474,0.667448,0.000199,0.019883,0.994157,49.707829,0.000036
0.020000,0.332474,0.667448,0.000795,0.039766,0.994157,0.000000,0.000016
0.020000,0.333003,0.667448,0.001789,0.059649,0.994157,0.000000,6.283167
0.020000,0.334395,0.667448,0.003181,0.079533,0.994157,-0.000000,6.283121
0.020000,0.336185,0.667448,0.004971,0.099416,0.994157,0.000000,6.283061
0.020000,0.338372,0.667448,0.007158,0.119299,0.994157,0.000000,6.282987
0.020000,0.340957,0.667447,0.009743,0.139182,0.994157,-0.000000,6.282902
0.020000,0.343939,0.667446,0.012725,0.159065,0.994157,0.000000,6.282803
0.020000,0.347319,0.667445,0.016105,0.178948,0.994157,0.000000,6.282693
0.020000,0.351097,0.667443,0.019883,0.198831,0.994157,-0.000000,6.282570
0.020000,0.355272,0.667440,0.024059,0.218714,0.994157,0.000000,6.282436
0.020000,0.359846,0.667436,0.028632,0.238598,0.994157,0.000000,6.282291
0.020000,0.364816,0.667431,0.033602,0.258481,0.994157,-0.000000,6.282135
0.020000,0.370185,0.667425,0.038971,0.278364,0.994157,0.000000,6.281969
0.020000,0.375951,0.667417,0.044737,0.298247,0.994157,0.000000,6.281793
0.020000,0.382115,0.667408,0.050901,0.318130,0.994157,-0.000000,6.281608
0.020000,0.388676,0.667397,0.057462,0.338013,0.994157,0.000000,6.281414
0.020000,0.395635,0.667384,0.064421,0.357896,0.994157,0.000000,6.281212
0.020000,0.402992,0.667369,0.071778,0.377779,0.994157,-0.000000,6.281003
0.020000,0.410746,0.667351,0.079533,0.397663,0.994157,0.000000,6.280788
0.020000,0.418898,0.667331,0.087685,0.417546,0.994157,0.000000,6.280566
0.020000,0.427448,0.667307,0.096234,0.437429,0.994157,-0.000000,6.280340
0.020000,0.436395,0.667281,0.105182,0.457312,0.994157,0.000000,6.280109
0.020000,0.445740,0.667251,0.114527,0.477195,0.994157,0.000000,6.279875
0.020000,0.455483,0.667218,0.124270,0.497078,0.994157,-0.000000,6.279639
0.020000,0.465623,0.667181,0.134410,0.516961,0.994157,-0.000000,6.279401
0.020000,0.476161,0.667139,0.144948,0.536845,0.994157,0.000000,6.279162
0.020000,0.487097,0.667094,0.155884,0.556728,0.994157,0.000000,6.278924
0.020000,0.498430,0.667044,0.167217,0.576611,0.994157,0.000000,6.278687
0.020000,0.510161,0.666990,0.178948,0.596494,0.994157,0.000000,6.278453
0.020000,0.522290,0.666931,0.191077,0.616377,0.994157,-0.000000,6.278223
0.020000,0.534816,0.666868,0.203603,0.636260,0.994157,0.000000,6.277997
0.020000,0.547740,0.666799,0.216527,0.656143,0.994157,0.000000,6.277778
0.020000,0.561061,0.666726,0.229849,0.676026,0.994157,0.000000,6.277566
0.020000,0.574781,0.666647,0.243568,0.695910,0.994157,-0.000000,6.277362
0.020000,0.588897,0.666564,0.257685,0.715793,0.994157,0.000000,6.277168
0.020000,0.603412,0.666475,0.272200,0.735676,0.994157,-0.000000,6.276986
0.020000,0.618324,0.666381,0.287112,0.755559,0.994157,0.000000,6.276816
0.020000,0.633633,0.666283,0.302422,0.775442,0.994157,-0.000000,6.276660
0.020000,0.649341,0.666179,0.318130,0.795325,0.994157,0.000000,6.276520
0.020000,0.665446,0.666071,0.334235,0.815208,0.994157,-0.000000,6.276397
0.020000,0.681948,0.665958,0.350738,0.835092,0.994157,0.000000,6.276293
0.020000,0.698849,0.665841,0.367639,0.854975,0.994157,-0.000000,6.276209
0.020000,0.716147,0.665719,0.384937,0.874858,0.994157,0.000000,6.276146
0.020000,0.733842,0.665594,0.402633,0.894741,0.994157,-0.000000,6.276107
0.020000,0.751935,0.665466,0.420727,0.914624,0.994157,0.000000,6.276093
0.020000,0.770426,0.665335,0.439218,0.934507,0.994157,-0.000000,6.276106
0.020000,0.789315,0.665202,0.458107,0.954390,0.994157,0.000000,6.276148
0.020000,0.808601,0.665067,0.477394,0.974273,0.994157,-0.000000,6.276220
0.020000,0.828285,0.664931,0.497078,0.994157,0.994157,0.000000,6.276325
0.020000,0.848366,0.664794,0.517160,1.014040,0.994157,-0.000000,6.276464
0.020000,0.868845,0.664658,0.537640,1.033923,0.994157,0.000000,6.276639
0.020000,0.889722,0.664524,0.558517,1.053806,0.994157,0.000000,6.276852
0.020000,0.910997,0.664392,0.579792,1.073689,0.994157,-0.000000,6.277105
0.020000,0.932669,0.664263,0.601465,1.093572,0.994157,0.000000,6.277400
0.020000,0.954739,0.664139,0.623535,1.113455,0.994157,-0.000000,6.277740
0.020000,0.977206,0.664021,0.646003,1.133338,0.994157,0.000000,6.278126
0.020000,1.000072,0.663910,0.668869,1.153222,0.994157,-0.000000,6.278560
0.020000,1.023335,0.663808,0.692132,1.173105,0.994157,0.000000,6.279046
0.020000,1.046996,0.663716,0.715793,1.192988,0.994157,-0.000000,6.279584
0.020000,1.071054,0.663637,0.739851,1.212871,0.994157,0.000000,6.280177
0.020000,1.095510,0.663571,0.764308,1.232754,0.994157,0.000000,6.280828
0.020000,1.120364,0.663521,0.789161,1.252637,0.994157,0.000000,6.281539
0.020000,1.145616,0.663489,0.814413,1.272520,0.994157,-0.000000,6.282312
0.020000,1.171265,0.663477,0.840062,1.292404,0.994157,0.000000,6.283150
0.020000,1.197312,0.663488,0.866109,1.312287,0.994157,-0.000000,0.000869
0.020000,1.223756,0.663524,0.892554,1.332170,0.994157,0.000000,0.001844
0.020000,1.250598,0.663587,0.919396,1.352053,0.994157,-0.000000,0.002891
0.020000,1.277838,0.663681,0.946636,1.371936,0.994157,0.000000,0.004012
0.020000,1.305475,0.663809,0.974273,1.391819,0.994157,0.000000,0.005211
0.020000,1.333510,0.663972,1.002309,1.411702,0.994157,0.000000,0.006490
0.020000,1.361942,0.664176,1.030742,1.431585,0.994157,-0.000000,0.007851
0.020000,1.390772,0.664423,1.059572,1.451469,0.994157,0.000000,0.009298
0.020000,1.419999,0.664717,1.088800,1.471352,0.994157,0.000000,0.010833
0.020000,1.449622,0.665062,1.118426,1.491235,0.994157,0.000000,0.012459
0.020000,1.479643,0.665462,1.148450,1.511118,0.994157,-0.000000,0.014179
0.020000,1.510061,0.665920,1.178871,1.531001,0.994157,0.000000,0.015995
0.020000,1.540875,0.666443,1.209690,1.550884,0.994157,0.000000,0.017911
0.020000,1.572086,0.667033,1.240906,1.570767,0.994157,0.000000,0.019929
0.020000,1.600404,0.667641,1.272520,1.590651,0.994157,-0.000000,0.025893
0.020000,1.632396,0.668759,1.304532,1.610534,0.994157,0.000000,0.043980
0.020000,1.664759,0.670479,1.336942,1.630417,0.994157,0.000000,0.062222
0.020000,1.697482,0.672820,1.369749,1.650300,0.994157,0.000000,0.080586
0.020000,1.730553,0.675799,1.402954,1.670183,0.994157,-0.000000,0.099036
0.020000,1.763958,0.679431,1.436556,1.690066,0.994157,0.000000,0.117533
0.020000,1.797684,0.683731,1.470556,1.709949,0.994157,0.000000,0.136039
0.020000,1.831719,0.688711,1.504954,1.729832,0.994157,0.000000,0.154511
0.020000,1.866049,0.694383,1.539750,1.749716,0.994157,0.000000,0.172909
0.020000,1.900660,0.700755,1.574943,1.769599,0.994157,-0.000000,0.191190
0.020000,1.935539,0.707836,1.610534,1.789482,0.994157,0.000000,0.209311
0.020000,1.970673,0.715630,1.646522,1.809365,0.994157,0.000000,0.227230
