dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.332488,0.311848,0.000075,0.007484,0.374200,18.710014,0.000040
0.020000,0.332484,0.311848,0.000078,0.000180,-0.365189,-36.969444,0.000030
0.020000,0.332477,0.311848,0.000086,0.000360,0.008992,18.709053,0.000010
0.020000,0.333077,0.311848,0.000686,0.030022,1.483119,73.706305,6.283165
0.020000,0.334261,0.311848,0.001869,0.059155,1.456625,-1.324677,6.283124
0.020000,0.335740,0.311848,0.003348,0.073947,0.739581,-35.852195,6.283074
0.020000,0.337514,0.311848,0.005123,0.088740,0.739677,0.004807,6.283014
0.020000,0.339585,0.311847,0.007194,0.103536,0.739793,0.005768,6.282944
0.020000,0.341952,0.311847,0.009560,0.118335,0.739927,0.006729,6.282865
0.020000,0.344614,0.311846,0.012223,0.133136,0.740081,0.007690,6.282776
0.020000,0.347573,0.311844,0.015182,0.147941,0.740254,0.008652,6.282679
0.020000,0.350828,0.311843,0.018437,0.162750,0.740446,0.009613,6.282572
0.020000,0.354380,0.311840,0.021988,0.177563,0.740658,0.010575,6.282456
0.020000,0.358227,0.311837,0.025836,0.192381,0.740889,0.011536,6.282332
0.020000,0.362371,0.311833,0.029980,0.207204,0.741138,0.012498,6.282200
0.020000,0.366812,0.311829,0.034420,0.222032,0.741408,0.013457,6.282060
0.020000,0.371549,0.311823,0.039158,0.236866,0.741696,0.014422,6.281913
0.020000,0.376583,0.311816,0.044192,0.251706,0.742004,0.015381,6.281758
0.020000,0.381914,0.311808,0.049523,0.266553,0.742331,0.016343,6.281597
0.020000,0.387542,0.311799,0.055151,0.281406,0.742677,0.017304,6.281429
0.020000,0.393468,0.311788,0.061076,0.296267,0.743042,0.018266,6.281255
0.020000,0.399691,0.311775,0.067299,0.311135,0.743426,0.019226,6.281075
0.020000,0.406211,0.311761,0.073819,0.326012,0.743830,0.020188,6.280891
0.020000,0.413029,0.311745,0.080637,0.340897,0.744253,0.021150,6.280701
0.020000,0.420144,0.311726,0.087753,0.355791,0.744695,0.022111,6.280508
0.020000,0.427558,0.311706,0.095167,0.370694,0.745157,0.023072,6.280310
0.020000,0.435270,0.311683,0.102879,0.385607,0.745638,0.024033,6.280110
0.020000,0.443281,0.311657,0.110890,0.400530,0.746137,0.024997,6.279907
0.020000,0.451590,0.311629,0.119199,0.415463,0.746657,0.025952,6.279702
0.020000,0.460198,0.311598,0.127807,0.430407,0.747195,0.026920,6.279496
0.020000,0.469105,0.311565,0.136714,0.445362,0.747752,0.027877,6.279289
0.020000,0.478312,0.311528,0.145921,0.460328,0.748329,0.028840,6.279082
0.020000,0.487818,0.311488,0.155427,0.475307,0.748925,0.029795,6.278876
0.020000,0.497624,0.311444,0.165233,0.490298,0.749540,0.030766,6.278671
0.020000,0.507730,0.311398,0.175339,0.505301,0.750175,0.031719,6.278468
0.020000,0.518136,0.311348,0.185745,0.520318,0.750829,0.032683,6.278268
