dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660053,3.390600,0.000075,0.007452,0.372597,18.629838,6.283037
0.020000,1.660044,3.390600,0.000084,0.000455,-0.349860,-36.122859,6.283063
0.020000,1.660025,3.390600,0.000102,0.000907,0.022616,18.623808,6.283114
0.020000,1.660055,3.390600,0.000132,0.001504,0.029858,0.362109,0.000005
0.020000,1.661212,3.390600,0.001288,0.057820,2.815813,139.297759,0.000106
0.020000,1.662658,3.390600,0.002734,0.072294,0.723676,-104.606859,0.000231
0.020000,1.664393,3.390601,0.004470,0.086779,0.724272,0.029823,0.000380
0.020000,1.666419,3.390602,0.006495,0.101279,0.724996,0.036198,0.000551
0.020000,1.668735,3.390603,0.008811,0.115796,0.725851,0.042757,0.000744
0.020000,1.671341,3.390606,0.011418,0.130332,0.726776,0.046211,0.000958
0.020000,1.674239,3.390609,0.014316,0.144890,0.727914,0.056933,0.001191
0.020000,1.677429,3.390613,0.017505,0.159472,0.729088,0.058670,0.001443
0.020000,1.680910,3.390618,0.020987,0.174080,0.730415,0.066356,0.001711
0.020000,1.684685,3.390625,0.024761,0.188718,0.731864,0.072476,0.001994
0.020000,1.688752,3.390634,0.028829,0.203386,0.733412,0.077403,0.002290
0.020000,1.693114,3.390645,0.033191,0.218088,0.735121,0.085442,0.002598
0.020000,1.697771,3.390658,0.037847,0.232826,0.736892,0.088533,0.002915
0.020000,1.702723,3.390673,0.042799,0.247603,0.738831,0.096928,0.003239
0.020000,1.707971,3.390691,0.048048,0.262420,0.740855,0.101219,0.003568
0.020000,1.713517,3.390711,0.053593,0.277280,0.743006,0.107574,0.003900
0.020000,1.719360,3.390735,0.059437,0.292186,0.745283,0.113833,0.004231
0.020000,1.725503,3.390762,0.065580,0.307139,0.747670,0.119330,0.004560
0.020000,1.731946,3.390793,0.072022,0.322142,0.750166,0.124814,0.004883
0.020000,1.738690,3.390827,0.078766,0.337198,0.752792,0.131324,0.005197
0.020000,1.745736,3.390864,0.085813,0.352309,0.755535,0.137119,0.005500
0.020000,1.753085,3.390906,0.093162,0.367477,0.758389,0.142693,0.005788
0.020000,1.760739,3.390951,0.100816,0.382704,0.761365,0.148812,0.006058
0.020000,1.768699,3.391000,0.108776,0.397993,0.764442,0.153836,0.006306
0.020000,1.776965,3.391053,0.117043,0.413346,0.767670,0.161406,0.006529
0.020000,1.785541,3.391110,0.125618,0.428766,0.770978,0.165392,0.006722
0.020000,1.794425,3.391171,0.134503,0.444254,0.774435,0.172859,0.006883
0.020000,1.803622,3.391235,0.143700,0.459814,0.777997,0.178139,0.007007
0.020000,1.813130,3.391302,0.153209,0.475448,0.781681,0.184168,0.007090
0.020000,1.822953,3.391372,0.163032,0.491158,0.785487,0.190320,0.007128
0.020000,1.833092,3.391444,0.173171,0.506946,0.789417,0.196493,0.007116
0.020000,1.843548,3.391518,0.183627,0.522815,0.793468,0.202565,0.007050
0.020000,1.854323,3.391593,0.194402,0.538768,0.797648,0.208967,0.006924
0.020000,1.865419,3.391669,0.205499,0.554807,0.801950,0.215100,0.006735
0.020000,1.876837,3.391745,0.216917,0.570935,0.806389,0.221968,0.006477
0.020000,1.888580,3.391819,0.228660,0.587154,0.810949,0.227985,0.006145
0.020000,1.900649,3.391891,0.240730,0.603467,0.815645,0.234812,0.005734
0.020000,1.913047,3.391959,0.253127,0.619876,0.820476,0.241531,0.005238
0.020000,1.925774,3.392022,0.265855,0.636386,0.825463,0.249354,0.004652
0.020000,1.938834,3.392078,0.278915,0.652997,0.830564,0.255077,0.003969
0.020000,1.952228,3.392126,0.292309,0.669714,0.835840,0.263804,0.003185
0.020000,1.965959,3.392164,0.306040,0.686538,0.841229,0.269410,0.002293
0.020000,1.980028,3.392189,0.320109,0.703474,0.846798,0.278464,0.001286
