dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660000,3.035000,0.000075,0.007452,0.372597,18.629838,6.283037
0.020000,1.660000,3.035000,0.000373,0.022356,0.745194,18.629838,6.283063
0.020000,1.660000,3.035000,0.000969,0.037260,0.745194,0.000000,6.283114
0.020000,1.660057,3.035000,0.001863,0.052164,0.745194,-0.000000,0.000005
0.020000,1.661249,3.035000,0.003055,0.067067,0.745194,0.000000,0.000106
0.020000,1.662740,3.035000,0.004546,0.081971,0.745194,-0.000000,0.000231
0.020000,1.664528,3.035001,0.006334,0.096875,0.745194,0.000000,0.000380
0.020000,1.666615,3.035002,0.008421,0.111779,0.745194,-0.000000,0.000551
0.020000,1.668999,3.035003,0.010805,0.126683,0.745194,0.000000,0.000744
0.020000,1.671682,3.035006,0.013488,0.141587,0.745194,0.000000,0.000958
0.020000,1.674663,3.035009,0.016469,0.156491,0.745194,0.000000,0.001191
0.020000,1.677942,3.035013,0.019748,0.171395,0.745194,0.000000,0.001443
0.020000,1.681519,3.035019,0.023325,0.186298,0.745194,-0.000000,0.001711
0.020000,1.685394,3.035026,0.027200,0.201202,0.745194,0.000000,0.001994
0.020000,1.689567,3.035035,0.031373,0.216106,0.745194,0.000000,0.002290
0.020000,1.694038,3.035046,0.035844,0.231010,0.745194,-0.000000,0.002598
0.020000,1.698807,3.035059,0.040613,0.245914,0.745194,0.000000,0.002915
0.020000,1.703874,3.035075,0.045680,0.260818,0.745194,0.000000,0.003239
0.020000,1.709240,3.035093,0.051046,0.275722,0.745194,0.000000,0.003568
0.020000,1.714903,3.035114,0.056709,0.290625,0.745194,0.000000,0.003900
0.020000,1.720865,3.035138,0.062671,0.305529,0.745194,-0.000000,0.004231
0.020000,1.727124,3.035166,0.068930,0.320433,0.745194,0.000000,0.004560
0.020000,1.733682,3.035197,0.075488,0.335337,0.745194,0.000000,0.004883
0.020000,1.740538,3.035231,0.082344,0.350241,0.745194,0.000000,0.005197
0.020000,1.747691,3.035270,0.089498,0.365145,0.745194,-0.000000,0.005500
0.020000,1.755143,3.035312,0.096950,0.380049,0.745194,0.000000,0.005788
0.020000,1.762893,3.035358,0.104700,0.394953,0.745194,-0.000000,0.006058
0.020000,1.770941,3.035407,0.112748,0.409856,0.745194,0.000000,0.006306
0.020000,1.779287,3.035461,0.121094,0.424760,0.745194,0.000000,0.006529
0.020000,1.787931,3.035518,0.129738,0.439664,0.745194,-0.000000,0.006722
0.020000,1.796873,3.035579,0.138681,0.454568,0.745194,0.000000,0.006883
0.020000,1.806113,3.035643,0.147921,0.469472,0.745194,0.000000,0.007007
0.020000,1.815652,3.035711,0.157459,0.484376,0.745194,-0.000000,0.007090
0.020000,1.825488,3.035781,0.167296,0.499280,0.745194,0.000000,0.007128
0.020000,1.835622,3.035853,0.177431,0.514184,0.745194,0.000000,0.007116
0.020000,1.846055,3.035927,0.187863,0.529087,0.745194,-0.000000,0.007050
0.020000,1.856785,3.036002,0.198594,0.543991,0.745194,0.000000,0.006924
0.020000,1.867814,3.036077,0.209623,0.558895,0.745194,0.000000,0.006735
0.020000,1.879141,3.036152,0.220950,0.573799,0.745194,0.000000,0.006477
0.020000,1.890765,3.036225,0.232575,0.588703,0.745194,-0.000000,0.006145
0.020000,1.902688,3.036296,0.244498,0.603607,0.745194,0.000000,0.005734
0.020000,1.914909,3.036364,0.256719,0.618511,0.745194,-0.000000,0.005238
0.020000,1.927428,3.036425,0.269238,0.633414,0.745194,0.000000,0.004652
0.020000,1.940246,3.036481,0.282056,0.648318,0.745194,0.000000,0.003969
0.020000,1.953361,3.036528,0.295171,0.663222,0.745194,0.000000,0.003185
0.020000,1.966774,3.036565,0.308585,0.678126,0.745194,-0.000000,0.002293
0.020000,1.980486,3.036589,0.322296,0.693030,0.745194,0.000000,0.001286
0.020000,1.994495,3.036600,0.336306,0.707934,0.745194,0.000000,0.000159
0.020000,2.008803,3.036593,0.350614,0.722838,0.745194,0.000000,6.282090
0.020000,2.023409,3.036567,0.365219,0.737742,0.745194,0.000000,6.280701
0.020000,2.038313,3.036519,0.380123,0.752645,0.745194,0.000000,6.279171
0.020000,2.053515,3.036445,0.395325,0.767549,0.745194,-0.000000,6.277493
0.020000,2.069014,3.036343,0.410825,0.782453,0.745194,0.000000,6.275659
0.020000,2.084812,3.036208,0.426623,0.797357,0.745194,0.000000,6.273662
0.020000,2.100907,3.036038,0.442719,0.812261,0.745194,0.000000,6.271494
0.020000,2.117300,3.035827,0.459114,0.827165,0.745194,0.000000,6.269146
0.020000,2.133990,3.035572,0.475806,0.842069,0.745194,0.000000,6.266611
0.020000,2.150978,3.035267,0.492796,0.856973,0.745194,-0.000000,6.263881
0.020000,2.168263,3.034908,0.510085,0.871876,0.745194,0.000000,6.260945
0.020000,2.185844,3.034490,0.527672,0.886780,0.745194,0.000000,6.257796
0.020000,2.203722,3.034006,0.545556,0.901684,0.745194,0.000000,6.254424
0.020000,2.221897,3.033451,0.563739,0.916588,0.745194,0.000000,6.250820
0.020000,2.240367,3.032817,0.582220,0.931492,0.745194,0.000000,6.246974
0.020000,2.259132,3.032099,0.600999,0.946396,0.745194,-0.000000,6.242876
0.020000,2.278191,3.031289,0.620076,0.961300,0.745194,0.000000,6.238516
0.020000,2.297545,3.030380,0.639451,0.976203,0.745194,0.000000,6.233883
0.020000,2.317192,3.029362,0.659124,0.991107,0.745194,0.000000,6.228967
0.020000,2.337131,3.028228,0.679095,1.006011,0.745194,0.000000,6.223757
0.020000,2.357361,3.026969,0.699364,1.020915,0.745194,0.000000,6.218241
0.020000,2.377881,3.025575,0.719931,1.035819,0.745194,0.000000,6.212408
0.020000,2.398689,3.024035,0.740797,1.050723,0.745194,-0.000000,6.206246
0.020000,2.419785,3.022341,0.761960,1.065627,0.745194,0.000000,6.199745
0.020000,2.441166,3.020479,0.783422,1.080531,0.745194,-0.000000,6.192891
0.020000,2.462829,3.018439,0.805182,1.095434,0.745194,0.000000,6.185673
0.020000,2.484774,3.016209,0.827239,1.110338,0.745194,-0.000000,6.178078
0.020000,2.506997,3.013775,0.849595,1.125242,0.745194,0.000000,6.170095
0.020000,2.529495,3.011125,0.872249,1.140146,0.745194,-0.000000,6.161711
0.020000,2.552265,3.008244,0.895201,1.155050,0.745194,0.000000,6.152915
0.020000,2.575304,3.005118,0.918451,1.169954,0.745194,-0.000000,6.143694
0.020000,2.598608,3.001732,0.941999,1.184858,0.745194,-0.000000,6.134038
0.020000,2.622171,2.998071,0.965845,1.199762,0.745194,0.000000,6.123934
0.020000,2.645989,2.994117,0.989990,1.214665,0.745194,-0.000000,6.113372
0.020000,2.670057,2.989854,1.014432,1.229569,0.745194,0.000000,6.102342
0.020000,2.694368,2.985265,1.039172,1.244473,0.745194,-0.000000,6.090834
0.020000,2.718915,2.980332,1.064211,1.259377,0.745194,0.000000,6.078841
0.020000,2.743692,2.975036,1.089547,1.274281,0.745194,-0.000000,6.066354
0.020000,2.768690,2.969360,1.115182,1.289185,0.745194,0.000000,6.053367
0.020000,2.793901,2.963283,1.141115,1.304089,0.745194,0.000000,6.039877
0.020000,2.819314,2.956786,1.167346,1.318993,0.745194,-0.000000,6.025878
0.020000,2.844920,2.949850,1.193875,1.333896,0.745194,0.000000,6.011371
0.020000,2.870707,2.942454,1.220701,1.348800,0.745194,-0.000000,5.996356
0.020000,2.896663,2.934580,1.247827,1.363704,0.745194,0.000000,5.980836
0.020000,2.922776,2.926205,1.275250,1.378608,0.745194,-0.000000,5.964817
0.020000,2.949032,2.917312,1.302971,1.393512,0.745194,0.000000,5.948306
0.020000,2.975415,2.907879,1.330990,1.408416,0.745194,-0.000000,5.931314
0.020000,3.001911,2.897889,1.359307,1.423320,0.745194,0.000000,5.913855
0.020000,3.028504,2.887321,1.387923,1.438223,0.745194,-0.000000,5.895947
0.020000,3.055175,2.876158,1.416836,1.453127,0.745194,0.000000,5.877608
0.020000,3.081907,2.864382,1.446048,1.468031,0.745194,0.000000,5.858863
0.020000,3.108682,2.851977,1.475558,1.482935,0.745194,-0.000000,5.839737
0.020000,3.135481,2.838927,1.505365,1.497839,0.745194,0.000000,5.820260
0.020000,3.162283,2.825217,1.535471,1.512743,0.745194,0.000000,5.800464
0.020000,3.189070,2.810834,1.565875,1.527647,0.745194,0.000000,5.780383
0.020000,3.215820,2.795767,1.596577,1.542551,0.745194,-0.000000,5.760055
0.020000,3.242513,2.780005,1.627577,1.557454,0.745194,0.000000,5.739518
0.020000,3.269129,2.763539,1.658875,1.572358,0.745194,-0.000000,5.718814
0.020000,3.295647,2.746362,1.690471,1.587262,0.745194,0.000000,5.697985
0.020000,3.322048,2.728467,1.722366,1.602166,0.745194,0.000000,5.677072
0.020000,3.348311,2.709852,1.754558,1.617070,0.745194,-0.000000,5.656120
0.020000,3.374419,2.690513,1.787049,1.631974,0.745194,0.000000,5.635170
0.020000,3.398690,2.671794,1.819837,1.646878,0.745194,-0.000000,5.621700
0.020000,3.424821,2.651499,1.852924,1.661782,0.745194,0.000000,5.624037
0.020000,3.451239,2.631087,1.886308,1.676685,0.745194,0.000000,5.626622
0.020000,3.477947,2.610564,1.919991,1.691589,0.745194,0.000000,5.629463
0.020000,3.504954,2.589940,1.953972,1.706493,0.745194,-0.000000,5.632568
0.020000,3.532264,2.569224,1.988251,1.721397,0.745194,0.000000,5.635943
0.020000,3.559886,2.548424,2.022828,1.736301,0.745194,0.000000,5.639599
0.020000,3.587825,2.527551,2.057703,1.751205,0.745194,-0.000000,5.643541
0.020000,3.616088,2.506615,2.092876,1.766109,0.745194,0.000000,5.647781
