dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.659947,2.679400,0.000075,0.007459,0.372942,18.647123,6.283037
0.020000,1.659957,2.679400,0.000084,0.000455,-0.350185,-36.156376,6.283063
0.020000,1.659975,2.679400,0.000102,0.000908,0.022637,18.641082,6.283114
0.020000,1.660061,2.679400,0.000188,0.004301,0.169653,7.350802,0.000005
0.020000,1.661290,2.679400,0.001417,0.061467,2.858300,134.432387,0.000106
0.020000,1.662826,2.679400,0.002954,0.076816,0.767442,-104.542901,0.000231
0.020000,1.664669,2.679401,0.004797,0.092152,0.766829,-0.030666,0.000380
0.020000,1.666819,2.679402,0.006946,0.107474,0.766102,-0.036336,0.000552
0.020000,1.669274,2.679403,0.009402,0.122780,0.765267,-0.041788,0.000745
0.020000,1.672036,2.679406,0.012163,0.138065,0.764255,-0.050556,0.000959
0.020000,1.675102,2.679409,0.015230,0.153329,0.763226,-0.051482,0.001193
0.020000,1.678474,2.679414,0.018601,0.168569,0.761987,-0.061935,0.001444
0.020000,1.682149,2.679419,0.022277,0.183782,0.760661,-0.066293,0.001713
0.020000,1.686129,2.679427,0.026256,0.198967,0.759221,-0.071998,0.001996
0.020000,1.690411,2.679436,0.030538,0.214120,0.757645,-0.078830,0.002292
0.020000,1.694996,2.679447,0.035123,0.229239,0.755989,-0.082798,0.002600
0.020000,1.699882,2.679461,0.040010,0.244323,0.754154,-0.091739,0.002917
0.020000,1.705070,2.679477,0.045197,0.259368,0.752257,-0.094822,0.003242
0.020000,1.710557,2.679495,0.050684,0.274372,0.750207,-0.102504,0.003571
0.020000,1.716344,2.679517,0.056471,0.289333,0.748049,-0.107898,0.003903
0.020000,1.722429,2.679542,0.062556,0.304248,0.745782,-0.113378,0.004234
0.020000,1.728811,2.679570,0.068938,0.319116,0.743386,-0.119794,0.004563
0.020000,1.735489,2.679601,0.075617,0.333934,0.740874,-0.125577,0.004886
0.020000,1.742463,2.679637,0.082591,0.348699,0.738247,-0.131391,0.005200
0.020000,1.749731,2.679675,0.089859,0.363409,0.735510,-0.136838,0.005503
0.020000,1.757292,2.679718,0.097420,0.378062,0.732647,-0.143156,0.005791
0.020000,1.765145,2.679765,0.105273,0.392655,0.729671,-0.148768,0.006061
0.020000,1.773289,2.679815,0.113417,0.407186,0.726558,-0.155673,0.006309
0.020000,1.781722,2.679869,0.121850,0.421654,0.723367,-0.159539,0.006531
0.020000,1.790443,2.679927,0.130571,0.436054,0.720018,-0.167476,0.006725
0.020000,1.799450,2.679988,0.139579,0.450385,0.716573,-0.172245,0.006885
0.020000,1.808743,2.680053,0.148872,0.464645,0.713002,-0.178551,0.007009
0.020000,1.818319,2.680121,0.158449,0.478832,0.709307,-0.184744,0.007091
0.020000,1.828178,2.680191,0.168307,0.492942,0.705496,-0.190567,0.007128
0.020000,1.838317,2.680263,0.178447,0.506973,0.701559,-0.196819,0.007115
