dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660167,3.390999,0.000075,0.007474,0.373716,18.685790,0.000004
0.020000,1.660168,3.390999,0.000076,0.000056,-0.370925,-37.232027,0.000001
0.020000,1.660664,3.390999,0.000572,0.024809,1.237667,80.429580,6.283180
0.020000,1.661565,3.390999,0.001472,0.045013,1.010168,-11.374932,6.283171
0.020000,1.662765,3.390999,0.002673,0.060016,0.750160,-13.000418,6.283158
0.020000,1.664265,3.390999,0.004173,0.075018,0.750118,-0.002094,6.283143
0.020000,1.666066,3.390999,0.005973,0.090019,0.750066,-0.002617,6.283124
0.020000,1.668166,3.390999,0.008074,0.105019,0.750003,-0.003141,6.283103
0.020000,1.670566,3.390998,0.010474,0.120018,0.749930,-0.003664,6.283079
0.020000,1.673267,3.390998,0.013174,0.135015,0.749846,-0.004188,6.283052
0.020000,1.676267,3.390998,0.016175,0.150010,0.749752,-0.004711,6.283023
0.020000,1.679567,3.390997,0.019475,0.165003,0.749647,-0.005235,6.282991
0.020000,1.683167,3.390996,0.023075,0.179994,0.749532,-0.005758,6.282956
0.020000,1.687066,3.390995,0.026974,0.194982,0.749406,-0.006282,6.282920
0.020000,1.691266,3.390994,0.031174,0.209967,0.749270,-0.006805,6.282881
0.020000,1.695765,3.390993,0.035673,0.224950,0.749123,-0.007329,6.282841
0.020000,1.700563,3.390991,0.040471,0.239929,0.748966,-0.007852,6.282799
0.020000,1.705661,3.390989,0.045569,0.254905,0.748799,-0.008376,6.282755
0.020000,1.711059,3.390986,0.050967,0.269877,0.748621,-0.008899,6.282710
0.020000,1.716756,3.390984,0.056664,0.284846,0.748432,-0.009423,6.282664
0.020000,1.722752,3.390980,0.062660,0.299811,0.748233,-0.009946,6.282616
0.020000,1.729048,3.390977,0.068955,0.314771,0.748024,-0.010470,6.282569
0.020000,1.735642,3.390972,0.075550,0.329727,0.747804,-0.010993,6.282520
0.020000,1.742536,3.390968,0.082443,0.344679,0.747574,-0.011517,6.282472
0.020000,1.749728,3.390962,0.089636,0.359625,0.747333,-0.012040,6.282424
0.020000,1.757219,3.390956,0.097127,0.374567,0.747082,-0.012564,6.282376
0.020000,1.765010,3.390950,0.104917,0.389503,0.746820,-0.013087,6.282329
0.020000,1.773098,3.390943,0.113006,0.404434,0.746548,-0.013611,6.282282
0.020000,1.781485,3.390935,0.121393,0.419360,0.746265,-0.014134,6.282238
0.020000,1.790171,3.390927,0.130079,0.434279,0.745972,-0.014658,6.282194
0.020000,1.799155,3.390917,0.139063,0.449192,0.745668,-0.015181,6.282153
0.020000,1.808437,3.390908,0.148345,0.464099,0.745354,-0.015704,6.282114
0.020000,1.818017,3.390897,0.157925,0.479000,0.745030,-0.016228,6.282078
0.020000,1.827895,3.390886,0.167802,0.493894,0.744695,-0.016751,6.282045
0.020000,1.838070,3.390874,0.177978,0.508781,0.744349,-0.017275,6.282015
0.020000,1.848543,3.390862,0.188451,0.523661,0.743993,-0.017798,6.281989
0.020000,1.859314,3.390849,0.199222,0.538533,0.743627,-0.018322,6.281968
0.020000,1.870382,3.390835,0.210290,0.553398,0.743250,-0.018845,6.281951
0.020000,1.881747,3.390821,0.221655,0.568256,0.742863,-0.019369,6.281939
0.020000,1.893409,3.390807,0.233317,0.583105,0.742465,-0.019892,6.281933
0.020000,1.905368,3.390792,0.245276,0.597946,0.742056,-0.020416,6.281933
0.020000,1.917624,3.390777,0.257532,0.612779,0.741638,-0.020939,6.281940
0.020000,1.930176,3.390761,0.270084,0.627603,0.741208,-0.021463,6.281953
0.020000,1.943024,3.390745,0.282932,0.642418,0.740769,-0.021986,6.281974
0.020000,1.956169,3.390730,0.296077,0.657225,0.740318,-0.022510,6.282003
0.020000,1.969609,3.390714,0.309517,0.672022,0.739858,-0.023033,6.282041
0.020000,1.983345,3.390698,0.323253,0.686810,0.739387,-0.023557,6.282087
0.020000,1.997377,3.390683,0.337285,0.701588,0.738905,-0.024080,6.282143
0.020000,2.011704,3.390669,0.351612,0.716356,0.738413,-0.024604,6.282210
0.020000,2.026326,3.390655,0.366234,0.731114,0.737910,-0.025127,6.282287
