dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660094,2.679799,0.000075,0.007472,0.373604,18.680225,6.282977
0.020000,1.660149,2.679799,0.000130,0.002746,-0.236282,-30.494323,6.283131
0.020000,1.660752,2.679799,0.000732,0.030141,1.369748,80.301521,0.000254
0.020000,1.661813,2.679800,0.001793,0.053026,1.144240,-11.275422,0.000715
0.020000,1.663226,2.679801,0.003206,0.070648,0.881107,-13.156638,0.001327
0.020000,1.664990,2.679804,0.004970,0.088225,0.878821,-0.114297,0.002086
0.020000,1.667105,2.679809,0.007085,0.105744,0.875964,-0.142863,0.002990
0.020000,1.669569,2.679818,0.009549,0.123195,0.872533,-0.171577,0.004036
0.020000,1.672380,2.679831,0.012361,0.140565,0.868524,-0.200415,0.005217
0.020000,1.675537,2.679850,0.015517,0.157844,0.863939,-0.229250,0.006531
0.020000,1.679037,2.679875,0.019018,0.175020,0.858776,-0.258166,0.007969
0.020000,1.682879,2.679909,0.022859,0.192080,0.853032,-0.287210,0.009527
0.020000,1.687059,2.679952,0.027040,0.209014,0.846706,-0.316273,0.011196
0.020000,1.691575,2.680007,0.031556,0.225810,0.839799,-0.345341,0.012970
0.020000,1.696423,2.680074,0.036405,0.242456,0.832308,-0.374575,0.014839
0.020000,1.701601,2.680156,0.041584,0.258941,0.824231,-0.403823,0.016795
0.020000,1.707106,2.680254,0.047089,0.275252,0.815571,-0.433006,0.018828
0.020000,1.712932,2.680370,0.052916,0.291379,0.806326,-0.462269,0.020928
0.020000,1.719077,2.680505,0.059063,0.307309,0.796496,-0.491500,0.023083
0.020000,1.725535,2.680661,0.065523,0.323031,0.786082,-0.520681,0.025281
0.020000,1.732304,2.680840,0.072294,0.338532,0.775086,-0.549836,0.027511
0.020000,1.739377,2.681043,0.079370,0.353802,0.763507,-0.578927,0.029759
0.020000,1.746750,2.681271,0.086747,0.368829,0.751349,-0.607901,0.032012
0.020000,1.754418,2.681525,0.094419,0.383602,0.738613,-0.636808,0.034256
