dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.078029,1.121894,0.000075,0.007484,0.374208,18.710420,6.282448
0.020000,0.078013,1.121894,0.000090,0.000755,-0.336474,-35.534133,6.282491
0.020000,0.077983,1.121894,0.000120,0.001509,0.037712,18.709323,6.282576
0.020000,0.077938,1.121894,0.000165,0.002262,0.037668,-0.002195,6.282703
0.020000,0.077878,1.121894,0.000226,0.003014,0.037602,-0.003292,6.282872
0.020000,0.077802,1.121894,0.000301,0.003765,0.037515,-0.004390,6.283084
0.020000,0.078793,1.121894,0.001292,0.049538,2.288646,112.556572,0.000153
0.020000,0.080784,1.121895,0.003282,0.099520,2.499117,10.523526,0.000448
0.020000,0.083059,1.121896,0.005557,0.113747,0.711359,-89.387907,0.000786
0.020000,0.085618,1.121899,0.008117,0.127975,0.711398,0.001954,0.001165
0.020000,0.088462,1.121903,0.010961,0.142210,0.711749,0.017571,0.001585
0.020000,0.091591,1.121908,0.014090,0.156447,0.711857,0.005416,0.002047
0.020000,0.095005,1.121916,0.017503,0.170690,0.712146,0.014439,0.002549
0.020000,0.098704,1.121927,0.021202,0.184939,0.712447,0.015066,0.003092
0.020000,0.102688,1.121940,0.025186,0.199193,0.712702,0.012711,0.003675
0.020000,0.106957,1.121957,0.029455,0.213452,0.712958,0.012841,0.004297
0.020000,0.111511,1.121978,0.034010,0.227719,0.713358,0.019957,0.004960
0.020000,0.116351,1.122004,0.038849,0.241993,0.713706,0.017411,0.005661
0.020000,0.121476,1.122035,0.043975,0.256275,0.714080,0.018733,0.006401
0.020000,0.126887,1.122072,0.049386,0.270565,0.714482,0.020067,0.007179
0.020000,0.132584,1.122115,0.055083,0.284863,0.714910,0.021412,0.007994
0.020000,0.138568,1.122165,0.061067,0.299169,0.715313,0.020152,0.008847
0.020000,0.144837,1.122224,0.067337,0.313485,0.715779,0.023288,0.009737
0.020000,0.151393,1.122290,0.073893,0.327811,0.716328,0.027471,0.010663
0.020000,0.158235,1.122367,0.080736,0.342148,0.716857,0.026440,0.011624
0.020000,0.165365,1.122453,0.087866,0.356493,0.717228,0.018536,0.012621
0.020000,0.172781,1.122551,0.095283,0.370853,0.717993,0.038245,0.013651
0.020000,0.180485,1.122660,0.102987,0.385221,0.718386,0.019681,0.014715
0.020000,0.188476,1.122782,0.110979,0.399604,0.719171,0.039214,0.015813
0.020000,0.196755,1.122917,0.119259,0.413996,0.719577,0.020341,0.016942
0.020000,0.205322,1.123068,0.127827,0.428403,0.720384,0.040338,0.018104
0.020000,0.214176,1.123233,0.136684,0.442824,0.721036,0.032574,0.019296
0.020000,0.223320,1.123415,0.145829,0.457257,0.721663,0.031363,0.020518
0.020000,0.232752,1.123615,0.155263,0.471704,0.722355,0.034616,0.021769
0.020000,0.242473,1.123833,0.164986,0.486167,0.723140,0.039256,0.023049
0.020000,0.252483,1.124070,0.174999,0.500645,0.723886,0.037278,0.024357
0.020000,0.262782,1.124328,0.185302,0.515138,0.724658,0.038621,0.025691
0.020000,0.273372,1.124607,0.195895,0.529647,0.725458,0.039976,0.027051
0.020000,0.284251,1.124909,0.206778,0.544173,0.726285,0.041341,0.028436
0.020000,0.295420,1.125234,0.217953,0.558713,0.727019,0.036733,0.029845
0.020000,0.306880,1.125585,0.229418,0.573273,0.727979,0.047958,0.031277
0.020000,0.318631,1.125961,0.241175,0.587851,0.728893,0.045728,0.032731
0.020000,0.330674,1.126364,0.253224,0.602445,0.729732,0.041935,0.034206
0.020000,0.343007,1.126796,0.265565,0.617058,0.730620,0.044407,0.035701
0.020000,0.355633,1.127256,0.278199,0.631692,0.731698,0.053882,0.037214
0.020000,0.368550,1.127747,0.291126,0.646341,0.732468,0.038526,0.038746
0.020000,0.381760,1.128269,0.304346,0.661014,0.733629,0.058058,0.040294
0.020000,0.395263,1.128824,0.317860,0.675705,0.734566,0.046848,0.041858
0.020000,0.409059,1.129413,0.331668,0.690415,0.735521,0.047719,0.043437
