dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.302177,0.311848,0.000075,0.007492,0.374594,18.729688,6.282336
0.020000,0.302195,0.311848,0.000093,0.000911,-0.329051,-35.182221,6.282388
0.020000,0.302232,0.311848,0.000130,0.001821,0.045517,18.728378,6.282490
0.020000,0.302286,0.311848,0.000184,0.002730,0.045465,-0.002620,6.282644
0.020000,0.302359,0.311848,0.000257,0.003638,0.045386,-0.003930,6.282848
0.020000,0.302450,0.311848,0.000348,0.004544,0.045281,-0.005240,6.283104
0.020000,0.303878,0.311848,0.001776,0.071407,3.343178,164.894849,0.000225
0.020000,0.306103,0.311849,0.004001,0.111233,1.991269,-67.595440,0.000582
0.020000,0.308645,0.311851,0.006543,0.127113,0.794011,-59.862924,0.000989
0.020000,0.311505,0.311855,0.009403,0.142988,0.793752,-0.012929,0.001447
0.020000,0.314682,0.311860,0.012580,0.158859,0.793559,-0.009647,0.001954
0.020000,0.318177,0.311868,0.016074,0.174725,0.793301,-0.012938,0.002511
0.020000,0.321988,0.311879,0.019886,0.190584,0.792935,-0.018280,0.003117
0.020000,0.326117,0.311893,0.024015,0.206438,0.792696,-0.011942,0.003772
0.020000,0.330563,0.311911,0.028460,0.222285,0.792339,-0.017865,0.004476
0.020000,0.335325,0.311934,0.033223,0.238124,0.791958,-0.019063,0.005228
0.020000,0.340404,0.311963,0.038302,0.253955,0.791553,-0.020243,0.006027
0.020000,0.345799,0.311998,0.043698,0.269777,0.791125,-0.021404,0.006874
0.020000,0.351511,0.312040,0.049409,0.285591,0.790674,-0.022546,0.007767
0.020000,0.357539,0.312089,0.055437,0.301395,0.790200,-0.023668,0.008707
0.020000,0.363882,0.312148,0.061781,0.317189,0.789705,-0.024769,0.009692
0.020000,0.370541,0.312216,0.068441,0.332973,0.789188,-0.025849,0.010722
0.020000,0.377516,0.312294,0.075415,0.348745,0.788637,-0.027537,0.011796
0.020000,0.384805,0.312384,0.082706,0.364504,0.787942,-0.034742,0.012914
0.020000,0.392410,0.312487,0.090311,0.380254,0.787480,-0.023133,0.014075
0.020000,0.400329,0.312603,0.098230,0.395989,0.786740,-0.036970,0.015279
0.020000,0.408562,0.312734,0.106465,0.411712,0.786142,-0.029922,0.016524
0.020000,0.417109,0.312881,0.115013,0.427419,0.785370,-0.038578,0.017809
0.020000,0.425970,0.313044,0.123875,0.443114,0.784763,-0.030385,0.019135
0.020000,0.435144,0.313226,0.133051,0.458792,0.783902,-0.043058,0.020499
0.020000,0.444631,0.313427,0.142540,0.474456,0.783166,-0.036787,0.021902
0.020000,0.454430,0.313649,0.152342,0.490104,0.782401,-0.038255,0.023343
0.020000,0.464542,0.313893,0.162457,0.505735,0.781560,-0.042020,0.024819
0.020000,0.474966,0.314159,0.172884,0.521349,0.780698,-0.043129,0.026331
0.020000,0.485701,0.314450,0.183623,0.536945,0.779814,-0.044203,0.027878
0.020000,0.496747,0.314767,0.194673,0.552523,0.778909,-0.045240,0.029458
0.020000,0.508103,0.315111,0.206035,0.568083,0.777984,-0.046244,0.031070
0.020000,0.519770,0.315483,0.217707,0.583624,0.777040,-0.047216,0.032714
0.020000,0.531746,0.315885,0.229690,0.599145,0.776077,-0.048156,0.034388
0.020000,0.544031,0.316318,0.241983,0.614644,0.774922,-0.057718,0.036091
0.020000,0.556625,0.316784,0.254586,0.630124,0.774033,-0.044464,0.037822
0.020000,0.569527,0.317284,0.267497,0.645584,0.772986,-0.052355,0.039579
0.020000,0.582736,0.317818,0.280718,0.661019,0.771732,-0.062688,0.041362
0.020000,0.596253,0.318390,0.294246,0.676435,0.770830,-0.045115,0.043169
0.020000,0.610076,0.319000,0.308083,0.691825,0.769504,-0.066298,0.045000
0.020000,0.624205,0.319649,0.322227,0.707194,0.768444,-0.052967,0.046852
0.020000,0.638639,0.320340,0.336678,0.722540,0.767294,-0.057530,0.048724
0.020000,0.653378,0.321072,0.351435,0.737859,0.765970,-0.066174,0.050615
0.020000,0.668421,0.321849,0.366498,0.753154,0.764748,-0.061116,0.052523
0.020000,0.683768,0.322670,0.381866,0.768425,0.763541,-0.060326,0.054448
0.020000,0.699417,0.323539,0.397540,0.783670,0.762244,-0.064899,0.056387
0.020000,0.715369,0.324455,0.413518,0.798889,0.760929,-0.065733,0.058340
0.020000,0.731622,0.325420,0.429799,0.814081,0.759598,-0.066532,0.060304
0.020000,0.748176,0.326436,0.446384,0.829246,0.758252,-0.067302,0.062279
0.020000,0.765029,0.327504,0.463272,0.844383,0.756884,-0.068410,0.064262
0.020000,0.782183,0.328625,0.480462,0.859490,0.755333,-0.077566,0.066252
0.020000,0.799635,0.329800,0.497953,0.874572,0.754080,-0.062640,0.068248
0.020000,0.817384,0.331031,0.515746,0.889625,0.752676,-0.070181,0.070247
0.020000,0.835431,0.332319,0.533838,0.904645,0.750978,-0.084934,0.072249
0.020000,0.853775,0.333666,0.552231,0.919639,0.749736,-0.062080,0.074251
0.020000,0.872414,0.335071,0.570923,0.934600,0.748033,-0.085168,0.076252
0.020000,0.891348,0.336536,0.589914,0.949534,0.746721,-0.065569,0.078250
0.020000,0.910576,0.338064,0.609203,0.964432,0.744856,-0.093241,0.080243
0.020000,0.930098,0.339653,0.628789,0.979302,0.743544,-0.065635,0.082230
0.020000,0.949912,0.341306,0.648671,0.994141,0.741913,-0.081529,0.084209
0.020000,0.970017,0.343023,0.668850,1.008946,0.740262,-0.082549,0.086177
0.020000,0.990414,0.344805,0.689325,1.023717,0.738543,-0.085953,0.088134
0.020000,1.011101,0.346653,0.710094,1.038457,0.736995,-0.077389,0.090077
0.020000,1.032077,0.348568,0.731157,1.053163,0.735318,-0.083881,0.092004
0.020000,1.053341,0.350551,0.752514,1.067836,0.733629,-0.084456,0.093914
0.020000,1.074893,0.352602,0.774163,1.082474,0.731902,-0.086334,0.095804
0.020000,1.096732,0.354721,0.796105,1.097076,0.730108,-0.089711,0.097673
0.020000,1.118857,0.356910,0.818338,1.111645,0.728451,-0.082812,0.099519
0.020000,1.141267,0.359168,0.840861,1.126179,0.726715,-0.086800,0.101339
0.020000,1.163962,0.361496,0.863675,1.140677,0.724885,-0.091504,0.103132
0.020000,1.186939,0.363895,0.886778,1.155137,0.722999,-0.094331,0.104896
0.020000,1.210200,0.366364,0.910169,1.169565,0.721392,-0.080345,0.106628
0.020000,1.233742,0.368905,0.933848,1.183950,0.719252,-0.106987,0.108327
0.020000,1.257566,0.371516,0.957814,1.198304,0.717689,-0.078159,0.109990
0.020000,1.281669,0.374197,0.982066,1.212616,0.715613,-0.103786,0.111615
0.020000,1.306052,0.376950,1.006604,1.226892,0.713789,-0.091202,0.113201
0.020000,1.330714,0.379773,1.031427,1.241130,0.711915,-0.093686,0.114745
0.020000,1.355653,0.382667,1.056533,1.255329,0.709953,-0.098109,0.116244
0.020000,1.380869,0.385630,1.081923,1.269488,0.707940,-0.100669,0.117697
0.020000,1.406362,0.388662,1.107595,1.283608,0.706001,-0.096953,0.119102
0.020000,1.432130,0.391764,1.133549,1.297688,0.704028,-0.098659,0.120456
0.020000,1.458172,0.394933,1.159783,1.311729,0.702010,-0.100884,0.121756
