dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.332459,1.023048,0.000075,0.007465,0.373228,18.661423,0.000040
0.020000,0.332463,1.023048,0.000078,0.000180,-0.364240,-36.873430,0.000030
0.020000,0.332470,1.023048,0.000085,0.000359,0.008969,18.660466,0.000010
0.020000,0.333087,1.023048,0.000703,0.030856,1.524864,75.794738,6.283165
0.020000,0.334296,1.023048,0.001911,0.060432,1.478768,-2.304789,6.283125
0.020000,0.335807,1.023048,0.003422,0.075537,0.755254,-36.175710,6.283074
0.020000,0.337619,1.023048,0.005235,0.090640,0.755158,-0.004781,6.283015
0.020000,0.339734,1.023047,0.007350,0.105741,0.755044,-0.005738,6.282945
0.020000,0.342151,1.023047,0.009766,0.120839,0.754910,-0.006694,6.282866
0.020000,0.344870,1.023046,0.012485,0.135934,0.754757,-0.007651,6.282778
0.020000,0.347890,1.023044,0.015506,0.151026,0.754585,-0.008607,6.282680
0.020000,0.351213,1.023043,0.018828,0.166114,0.754393,-0.009564,6.282573
0.020000,0.354836,1.023040,0.022452,0.181197,0.754183,-0.010519,6.282458
0.020000,0.358762,1.023037,0.026377,0.196277,0.753953,-0.011476,6.282335
0.020000,0.362989,1.023033,0.030604,0.211351,0.753705,-0.012432,6.282203
0.020000,0.367517,1.023028,0.035133,0.226419,0.753437,-0.013391,6.282063
0.020000,0.372347,1.023023,0.039962,0.241482,0.753150,-0.014343,6.281916
0.020000,0.377478,1.023016,0.045093,0.256539,0.752844,-0.015303,6.281762
0.020000,0.382910,1.023008,0.050525,0.271590,0.752519,-0.016258,6.281601
0.020000,0.388642,1.022998,0.056258,0.286633,0.752175,-0.017214,6.281433
0.020000,0.394676,1.022987,0.062291,0.301669,0.751811,-0.018173,6.281260
0.020000,0.401010,1.022974,0.068625,0.316698,0.751429,-0.019126,6.281080
0.020000,0.407644,1.022960,0.075259,0.331718,0.751027,-0.020083,6.280896
0.020000,0.414579,1.022943,0.082194,0.346731,0.750606,-0.021043,6.280707
0.020000,0.421813,1.022924,0.089429,0.361734,0.750166,-0.021992,6.280514
0.020000,0.429348,1.022903,0.096963,0.376728,0.749707,-0.022955,6.280317
0.020000,0.437182,1.022880,0.104797,0.391713,0.749229,-0.023910,6.280117
0.020000,0.445316,1.022854,0.112931,0.406687,0.748732,-0.024863,6.279915
0.020000,0.453749,1.022826,0.121364,0.421652,0.748215,-0.025821,6.279710
0.020000,0.462481,1.022795,0.130096,0.436605,0.747680,-0.026777,6.279504
0.020000,0.471512,1.022761,0.139127,0.451548,0.747125,-0.027735,6.279298
0.020000,0.480841,1.022723,0.148457,0.466479,0.746551,-0.028688,6.279091
0.020000,0.490469,1.022683,0.158085,0.481398,0.745958,-0.029644,6.278885
0.020000,0.500395,1.022639,0.168011,0.496305,0.745346,-0.030601,6.278680
0.020000,0.510619,1.022592,0.178235,0.511199,0.744715,-0.031559,6.278477
0.020000,0.521140,1.022541,0.188756,0.526080,0.744065,-0.032512,6.278277
0.020000,0.531959,1.022487,0.199575,0.540948,0.743396,-0.033465,6.278080
0.020000,0.543075,1.022429,0.210691,0.555802,0.742707,-0.034430,6.277887
0.020000,0.554488,1.022368,0.222104,0.570642,0.741999,-0.035376,6.277700
