dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.332474,0.667448,0.000075,0.007465,0.373228,18.661423,0.000040
0.020000,0.332474,0.667448,0.000373,0.022394,0.746457,18.661423,0.000030
0.020000,0.332474,0.667448,0.000970,0.037323,0.746457,0.000000,0.000010
0.020000,0.333080,0.667448,0.001866,0.052252,0.746457,0.000000,6.283165
0.020000,0.334274,0.667448,0.003060,0.067181,0.746457,0.000000,6.283125
0.020000,0.335767,0.667448,0.004553,0.082110,0.746457,-0.000000,6.283074
0.020000,0.337559,0.667448,0.006345,0.097039,0.746457,0.000000,6.283015
0.020000,0.339649,0.667447,0.008435,0.111969,0.746457,0.000000,6.282945
0.020000,0.342037,0.667447,0.010824,0.126898,0.746457,0.000000,6.282866
0.020000,0.344725,0.667446,0.013511,0.141827,0.746457,-0.000000,6.282778
0.020000,0.347711,0.667444,0.016497,0.156756,0.746457,0.000000,6.282680
0.020000,0.350995,0.667443,0.019781,0.171685,0.746457,-0.000000,6.282573
0.020000,0.354578,0.667440,0.023364,0.186614,0.746457,0.000000,6.282458
0.020000,0.358460,0.667437,0.027246,0.201543,0.746457,-0.000000,6.282335
0.020000,0.362640,0.667433,0.031426,0.216473,0.746457,0.000000,6.282203
0.020000,0.367118,0.667429,0.035905,0.231402,0.746457,-0.000000,6.282063
0.020000,0.371896,0.667423,0.040682,0.246331,0.746457,0.000000,6.281916
0.020000,0.376972,0.667416,0.045758,0.261260,0.746457,-0.000000,6.281762
0.020000,0.382346,0.667408,0.051132,0.276189,0.746457,0.000000,6.281601
0.020000,0.388019,0.667398,0.056805,0.291118,0.746457,0.000000,6.281433
0.020000,0.393991,0.667388,0.062777,0.306047,0.746457,0.000000,6.281260
0.020000,0.400261,0.667375,0.069047,0.320976,0.746457,0.000000,6.281080
0.020000,0.406830,0.667360,0.075616,0.335906,0.746457,-0.000000,6.280896
0.020000,0.413697,0.667344,0.082483,0.350835,0.746457,0.000000,6.280707
0.020000,0.420863,0.667326,0.089649,0.365764,0.746457,0.000000,6.280514
0.020000,0.428328,0.667305,0.097114,0.380693,0.746457,0.000000,6.280317
0.020000,0.436091,0.667282,0.104877,0.395622,0.746457,-0.000000,6.280117
0.020000,0.444153,0.667256,0.112939,0.410551,0.746457,0.000000,6.279915
0.020000,0.452513,0.667228,0.121299,0.425480,0.746457,0.000000,6.279710
0.020000,0.461172,0.667197,0.129958,0.440410,0.746457,0.000000,6.279504
