dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.332488,0.311848,0.000075,0.007465,0.373228,18.661423,0.000040
0.020000,0.332484,0.311848,0.000078,0.000180,-0.364240,-36.873430,0.000030
0.020000,0.332477,0.311848,0.000085,0.000359,0.008969,18.660466,0.000010
0.020000,0.333073,0.311848,0.000681,0.029781,1.471087,73.105897,6.283165
0.020000,0.334253,0.311848,0.001861,0.059001,1.461021,-0.503303,6.283125
0.020000,0.335728,0.311848,0.003336,0.073755,0.737660,-36.168060,6.283074
0.020000,0.337498,0.311848,0.005106,0.088510,0.737755,0.004782,6.283015
0.020000,0.339563,0.311847,0.007172,0.103267,0.737870,0.005738,6.282945
0.020000,0.341924,0.311847,0.009532,0.118027,0.738004,0.006694,6.282866
0.020000,0.344580,0.311846,0.012188,0.132790,0.738157,0.007651,6.282778
0.020000,0.347531,0.311844,0.015139,0.147557,0.738329,0.008607,6.282680
0.020000,0.350777,0.311843,0.018386,0.162327,0.738521,0.009563,6.282573
0.020000,0.354319,0.311840,0.021928,0.177102,0.738731,0.010520,6.282458
0.020000,0.358157,0.311837,0.025765,0.191881,0.738960,0.011476,6.282335
0.020000,0.362290,0.311833,0.029899,0.206665,0.739209,0.012433,6.282203
0.020000,0.366719,0.311829,0.034328,0.221455,0.739477,0.013387,6.282063
0.020000,0.371444,0.311823,0.039053,0.236250,0.739764,0.014347,6.281916
0.020000,0.376465,0.311816,0.044074,0.251051,0.740070,0.015301,6.281762
0.020000,0.381783,0.311808,0.049391,0.265859,0.740395,0.016258,6.281601
0.020000,0.387396,0.311799,0.055004,0.280674,0.740739,0.017215,6.281433
0.020000,0.393306,0.311788,0.060914,0.295496,0.741103,0.018169,6.281260
0.020000,0.399513,0.311776,0.067121,0.310326,0.741485,0.019128,6.281080
0.020000,0.406016,0.311761,0.073624,0.325164,0.741887,0.020084,6.280896
0.020000,0.412816,0.311745,0.080424,0.340010,0.742308,0.021037,6.280707
0.020000,0.419913,0.311727,0.087522,0.354865,0.742748,0.022001,6.280514
0.020000,0.427308,0.311706,0.094916,0.369729,0.743207,0.022950,6.280317
0.020000,0.435000,0.311684,0.102608,0.384603,0.743685,0.023908,6.280117
0.020000,0.442989,0.311658,0.110598,0.399486,0.744182,0.024867,6.279915
0.020000,0.451277,0.311630,0.118886,0.414380,0.744699,0.025821,6.279710
0.020000,0.459863,0.311600,0.127471,0.429285,0.745234,0.026777,6.279504
0.020000,0.468747,0.311566,0.136355,0.444201,0.745789,0.027732,6.279298
0.020000,0.477929,0.311529,0.145538,0.459128,0.746363,0.028691,6.279091
0.020000,0.487410,0.311489,0.155019,0.474067,0.746956,0.029646,6.278885
0.020000,0.497191,0.311446,0.164800,0.489018,0.747568,0.030601,6.278680
