dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.003121,1.002468,0.000075,0.007474,0.373681,18.684072,0.000012
0.020000,0.003121,1.002468,0.000075,0.000012,-0.373059,-37.337039,0.000011
0.020000,0.003121,1.002468,0.000075,0.000025,0.000622,18.684078,0.000010
0.020000,0.003122,1.002468,0.000076,0.000037,0.000622,0.000014,0.000008
0.020000,0.003123,1.002468,0.000077,0.000050,0.000623,0.000021,0.000005
0.020000,0.003124,1.002468,0.000078,0.000062,0.000623,0.000027,0.000001
0.020000,0.004298,1.002468,0.001252,0.058678,2.930799,146.508785,6.283183
0.020000,0.006392,1.002468,0.003346,0.104718,2.301990,-31.440457,6.283178
0.020000,0.008786,1.002468,0.005740,0.119678,0.747989,-77.700069,6.283172
0.020000,0.011479,1.002468,0.008433,0.134638,0.747990,0.000072,6.283166
0.020000,0.014471,1.002468,0.011425,0.149597,0.747991,0.000043,6.283159
0.020000,0.017762,1.002467,0.014716,0.164557,0.747993,0.000079,6.283151
0.020000,0.021352,1.002467,0.018306,0.179517,0.747994,0.000077,6.283143
0.020000,0.025242,1.002467,0.022196,0.194477,0.747996,0.000073,6.283133
0.020000,0.029430,1.002467,0.026384,0.209437,0.747997,0.000092,6.283124
0.020000,0.033918,1.002467,0.030872,0.224397,0.747999,0.000102,6.283113
0.020000,0.038705,1.002466,0.035660,0.239357,0.748001,0.000101,6.283102
0.020000,0.043792,1.002466,0.040746,0.254317,0.748004,0.000106,6.283090
0.020000,0.049177,1.002465,0.046131,0.269277,0.748006,0.000117,6.283077
0.020000,0.054862,1.002465,0.051816,0.284237,0.748008,0.000123,6.283063
0.020000,0.060846,1.002464,0.057800,0.299198,0.748011,0.000138,6.283049
0.020000,0.067129,1.002463,0.064083,0.314158,0.748014,0.000132,6.283034
0.020000,0.073712,1.002462,0.070666,0.329118,0.748017,0.000140,6.283019
0.020000,0.080593,1.002461,0.077547,0.344079,0.748020,0.000148,6.283002
0.020000,0.087774,1.002459,0.084728,0.359039,0.748023,0.000176,6.282985
0.020000,0.095254,1.002458,0.092208,0.374000,0.748026,0.000146,6.282967
0.020000,0.103033,1.002456,0.099987,0.388960,0.748030,0.000181,6.282948
0.020000,0.111112,1.002454,0.108066,0.403921,0.748033,0.000174,6.282929
0.020000,0.119489,1.002452,0.116443,0.418882,0.748037,0.000193,6.282909
0.020000,0.128166,1.002449,0.125120,0.433842,0.748040,0.000178,6.282888
0.020000,0.137142,1.002446,0.134096,0.448803,0.748045,0.000213,6.282866
0.020000,0.146417,1.002443,0.143371,0.463764,0.748049,0.000203,6.282844
0.020000,0.155992,1.002440,0.152946,0.478725,0.748053,0.000207,6.282821
0.020000,0.165866,1.002436,0.162820,0.493686,0.748057,0.000221,6.282797
0.020000,0.176039,1.002432,0.172993,0.508648,0.748062,0.000228,6.282772
0.020000,0.186511,1.002428,0.183465,0.523609,0.748067,0.000234,6.282746
0.020000,0.197282,1.002423,0.194236,0.538570,0.748071,0.000240,6.282720
0.020000,0.208353,1.002418,0.205307,0.553532,0.748076,0.000246,6.282693
0.020000,0.219723,1.002412,0.216677,0.568494,0.748081,0.000252,6.282665
0.020000,0.231392,1.002406,0.228346,0.583455,0.748087,0.000260,6.282636
0.020000,0.243360,1.002399,0.240314,0.598417,0.748092,0.000282,6.282606
0.020000,0.255628,1.002392,0.252582,0.613379,0.748097,0.000256,6.282576
0.020000,0.268194,1.002384,0.265149,0.628341,0.748103,0.000285,6.282544
0.020000,0.281061,1.002375,0.278015,0.643303,0.748109,0.000299,6.282512
0.020000,0.294226,1.002366,0.291180,0.658266,0.748115,0.000279,6.282479
0.020000,0.307690,1.002356,0.304645,0.673228,0.748121,0.000316,6.282445
0.020000,0.321454,1.002346,0.318408,0.688191,0.748127,0.000302,6.282411
0.020000,0.335517,1.002335,0.332471,0.703153,0.748133,0.000310,6.282375
0.020000,0.349880,1.002323,0.346834,0.718116,0.748140,0.000334,6.282339
0.020000,0.364541,1.002310,0.361495,0.733079,0.748146,0.000327,6.282301
0.020000,0.379502,1.002297,0.376456,0.748042,0.748153,0.000331,6.282263
0.020000,0.394762,1.002282,0.391716,0.763005,0.748160,0.000344,6.282224
0.020000,0.410321,1.002267,0.407276,0.777969,0.748167,0.000351,6.282184
0.020000,0.426180,1.002251,0.423134,0.792932,0.748174,0.000357,6.282143
