dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.003129,0.291268,0.000075,0.007474,0.373681,18.684072,0.000012
0.020000,0.003129,0.291268,0.000075,0.000012,-0.373059,-37.337039,0.000011
0.020000,0.003128,0.291268,0.000075,0.000025,0.000622,18.684078,0.000010
0.020000,0.003128,0.291268,0.000076,0.000037,0.000622,0.000014,0.000008
0.020000,0.003127,0.291268,0.000077,0.000050,0.000623,0.000021,0.000005
0.020000,0.003125,0.291268,0.000078,0.000062,0.000623,0.000027,0.000001
0.020000,0.004296,0.291268,0.001249,0.058529,2.923325,146.135056,6.283183
0.020000,0.006387,0.291268,0.003340,0.104544,2.300740,-31.129224,6.283178
0.020000,0.008776,0.291268,0.005729,0.119478,0.746737,-77.700165,6.283172
0.020000,0.011465,0.291268,0.008418,0.134413,0.746736,-0.000038,6.283166
0.020000,0.014452,0.291268,0.011405,0.149348,0.746734,-0.000080,6.283159
0.020000,0.017737,0.291267,0.014690,0.164282,0.746733,-0.000058,6.283151
0.020000,0.021322,0.291267,0.018275,0.179217,0.746732,-0.000074,6.283143
0.020000,0.025205,0.291267,0.022158,0.194152,0.746730,-0.000091,6.283133
0.020000,0.029386,0.291267,0.026339,0.209086,0.746728,-0.000086,6.283124
0.020000,0.033867,0.291267,0.030820,0.224021,0.746726,-0.000090,6.283113
0.020000,0.038646,0.291266,0.035599,0.238955,0.746724,-0.000104,6.283102
0.020000,0.043724,0.291266,0.040677,0.253890,0.746722,-0.000114,6.283090
0.020000,0.049100,0.291265,0.046053,0.268824,0.746720,-0.000116,6.283077
0.020000,0.054775,0.291265,0.051728,0.283758,0.746717,-0.000124,6.283063
0.020000,0.060749,0.291264,0.057702,0.298693,0.746715,-0.000122,6.283049
0.020000,0.067022,0.291263,0.063975,0.313627,0.746712,-0.000143,6.283034
0.020000,0.073593,0.291262,0.070546,0.328561,0.746709,-0.000148,6.283019
0.020000,0.080463,0.291261,0.077416,0.343495,0.746706,-0.000154,6.283002
